CVE ID,Channel ID,Message,Timestamp,Message URL
CVE-2021-29952,1714838658,"If FireFox vulnerability is released, any code can be injected. Affected systems: Mozilla Firefox < 88.0.1 Mozilla Firefox for Android < 88.1.3 Description: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- Get the shell (",2025-04-22 11:54:42.799093,https://t.me/Z_Security/12
CVE-2021-29952,1714838658,"If FireFox vulnerability is released, any code can be injected. Affected systems: Mozilla Firefox < 88.0.1 Mozilla Firefox for Android < 88.1.3 Description: ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- Get the shell (",2025-04-22 11:54:42.823519,https://t.me/Z_Security/11
CVE-2022-22785,1385513396,CVE-2022-22785 Description: The Zoom Client for Meetings before version 5.10.0 failed to properly constrain client session cookies to Zoom domains. This issue could be used in a more sophisticated attack to send an unsuspecting users Zoom-scoped session cookies to a non-Zoom domain. This could potentially allow for spoofing of a Zoom user. Link:,2025-04-22 11:54:48.035956,https://t.me/CVE_Updates/17556
CVE-2022-22784,1385513396,CVE-2022-22784 Description: The Zoom Client for Meetings before version 5.10.0 failed to properly parse XML stanzas in XMPP messages. This can allow a malicious user to break out of the current XMPP message context and create a new message context to have the receiving users client perform a variety of actions.This issue could be used in a more sophisticated attack to forge XMPP messages from the server. Link:,2025-04-22 11:54:48.036589,https://t.me/CVE_Updates/17555
CVE-2022-1767,1385513396,CVE-2022-1767 Description: Server-Side Request Forgery in GitHub repository jgraph/drawio prior to 18.0.7. Link:,2025-04-22 11:54:48.036745,https://t.me/CVE_Updates/17554
CVE-2022-1110,1385513396,CVE-2022-1110 Description: A buffer overflow vulnerability in Lenovo Smart Standby Driver prior to version 4.1.50.0 could allow a local attacker to cause denial of service. Link:,2025-04-22 11:54:48.036857,https://t.me/CVE_Updates/17553
CVE-2021-42852,1385513396,CVE-2021-42852 Description: A command injection vulnerability was reported in some Lenovo Personal Cloud Storage devices that could allow an authenticated user to execute operating system commands by sending a crafted packet to the device. Link:,2025-04-22 11:54:48.036985,https://t.me/CVE_Updates/17552
CVE-2021-42850,1385513396,CVE-2021-42850 Description: A weak default administrator password for the web interface and serial port was reported in some Lenovo Personal Cloud Storage devices that could allow unauthorized device access to an attacker with physical or local network access. Link:,2025-04-22 11:54:48.037119,https://t.me/CVE_Updates/17551
CVE-2021-3969,1385513396,"CVE-2021-3969 Description: A Time of Check Time of Use vulnerability was reported in IMController, a software component of Lenovo System Interface Foundation, prior to version 1.1.20.3that could allow a local attacker to elevate privileges. Link:",2025-04-22 11:54:48.037263,https://t.me/CVE_Updates/17550
CVE-2022-27801,1385513396,"CVE-2022-27801 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by a use-after-free vulnerability in the processing of annotations that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.037438,https://t.me/CVE_Updates/17549
CVE-2022-27799,1385513396,"CVE-2022-27799 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by a use-after-free vulnerability in the processing of the acroform event that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.037676,https://t.me/CVE_Updates/17548
CVE-2022-27798,1385513396,"CVE-2022-27798 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.037860,https://t.me/CVE_Updates/17547
CVE-2022-27797,1385513396,"CVE-2022-27797 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by a use-after-free vulnerability in the processing of annotations that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.038041,https://t.me/CVE_Updates/17546
CVE-2022-27796,1385513396,"CVE-2022-27796 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by a use-after-free vulnerability in the processing of the acroform event that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.038224,https://t.me/CVE_Updates/17545
CVE-2022-27795,1385513396,"CVE-2022-27795 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by a use-after-free vulnerability in the processing of the acroform event that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.038407,https://t.me/CVE_Updates/17544
CVE-2022-28238,1385513396,"CVE-2022-28238 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by a use-after-free vulnerability in the processing of annotations that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.038593,https://t.me/CVE_Updates/17543
CVE-2022-28237,1385513396,"CVE-2022-28237 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by a use-after-free vulnerability in the processing of annotations that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.038819,https://t.me/CVE_Updates/17542
CVE-2022-28236,1385513396,"CVE-2022-28236 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by an out-of-bounds write vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.039001,https://t.me/CVE_Updates/17541
CVE-2022-28235,1385513396,"CVE-2022-28235 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 are affected by a use-after-free vulnerability in the processing of the acroform event that could result in arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file. Link:",2025-04-22 11:54:48.039177,https://t.me/CVE_Updates/17540
CVE-2022-28234,1385513396,"CVE-2022-28234 Description: Acrobat Reader DC versions 22.001.20085 , 20.005.3031x and 17.012.30205 is affected by a heap-based buffer overflow vulnerability due to insecure handling of a crafted .pdf file, potentially resulting in arbitrary code execution in the context of the current user. Exploitation requires user interaction in that a victim must open a crafted .pdf file Link:",2025-04-22 11:54:48.039365,https://t.me/CVE_Updates/17539
CVE-2022-30596,1385513396,CVE-2022-30596 Description: A flaw was found in moodle where ID numbers displayed when bulk allocating markers to assignments required additional sanitizing to prevent a stored XSS risk. Link:,2025-04-22 11:54:48.039475,https://t.me/CVE_Updates/17538
CVE-2022-29445,1385513396,CVE-2022-29445 Description: Authenticated Local File Inclusion vulnerability in Wow-Company's Popup Box plugin <= 2.1.2 at WordPress. Link:,2025-04-22 11:54:48.039560,https://t.me/CVE_Updates/17537
CVE-2022-28924,1385513396,CVE-2022-28924 Description: An information disclosure vulnerability in UniverSIS-Students before v1.5.0 allows attackers to obtain sensitive information via a crafted GET request to the endpoint /api/students/me/courses/. Link:,2025-04-22 11:54:48.039653,https://t.me/CVE_Updates/17536
CVE-2022-25162,1385513396,"CVE-2022-25162 Description: Improper Input Validation vulnerability in Mitsubishi Electric MELSEC iQ-F series FX5U-xMy/z versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-xMy/z versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MT/DS-TS versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MT/DSS-TS versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MR/DS-TS versions prior to 1.270 and Mitsubishi Electric MELSEC iQ-F series FX5UJ-xMy/z versions prior to 1.030 allows a remote unauthenticated attacker to cause a temporary DoS condition for the product's communication by sending specially crafted packets. Link:",2025-04-22 11:54:48.039861,https://t.me/CVE_Updates/17535
CVE-2022-25161,1385513396,"CVE-2022-25161 Description: Improper Input Validation vulnerability in Mitsubishi Electric MELSEC iQ-F series FX5U-xMy/z versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-xMy/z versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MT/DS-TS versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MT/DSS-TS versions prior to 1.270, Mitsubishi Electric MELSEC iQ-F series FX5UC-32MR/DS-TS versions prior to 1.270 and Mitsubishi Electric MELSEC iQ-F series FX5UJ-xMy/z versions prior to 1.030 allows a remote unauthenticated attacker to cause a DoS condition for the product's program execution or communication by sending specially crafted packets. System reset of the product is required for recovery. Link:",2025-04-22 11:54:48.040131,https://t.me/CVE_Updates/17534
CVE-2022-22787,1385513396,CVE-2022-22787 Description: The Zoom Client for Meetings before version 5.10.0 fails to properly validate the hostname during a server switch request. This issue could be used in a more sophisticated attack to trick an unsuspecting users client to connect to a malicious server when attempting to use Zoom services. Link:,2025-04-22 11:54:48.040313,https://t.me/CVE_Updates/17533
CVE-2022-22778,1385513396,CVE-2022-22778 Description: The Web Server component of TIBCO Software Inc.'s TIBCO BusinessConnect Trading Community Management contains an easily exploitable vulnerability that allows an unauthenticated attacker with network access to execute Cross-Site Request Forgery on the affected system. A successful attack using this vulnerability requires human interaction from a person other than the attacker. Affected releases are TIBCO Software Inc.'s TIBCO BusinessConnect Trading Community Management: versions 6.1.0 and below. Link:,2025-04-22 11:54:48.040483,https://t.me/CVE_Updates/17532
CVE-2022-22777,1385513396,CVE-2022-22777 Description: The Web Server component of TIBCO Software Inc.'s TIBCO BusinessConnect Trading Community Management contains easily exploitable Reflected Cross Site Scripting vulnerabilities that allow an unauthenticated attacker with network access to execute scripts targeting the affected system or the victim's local system. Affected releases are TIBCO Software Inc.'s TIBCO BusinessConnect Trading Community Management: versions 6.1.0 and below. Link:,2025-04-22 11:54:48.040658,https://t.me/CVE_Updates/17531
CVE-2022-22776,1385513396,CVE-2022-22776 Description: The Web Server component of TIBCO Software Inc.'s TIBCO BusinessConnect Trading Community Management contains easily exploitable vulnerabilities that allows a low privileged attacker with network access to execute Stored Cross Site Scripting on the affected system. A successful attack using these vulnerabilities requires human interaction from a person other than the attacker. Affected releases are TIBCO Software Inc.'s TIBCO BusinessConnect Trading Community Management: versions 6.1.0 and below. Link:,2025-04-22 11:54:48.040838,https://t.me/CVE_Updates/17530
CVE-2022-0883,1385513396,CVE-2022-0883 Description: SLM has an issue with Windows Unquoted/Trusted Service Paths Security Issue. All installations version 9.x.x prior to 9.20.1 should be patched. Link:,2025-04-22 11:54:48.040957,https://t.me/CVE_Updates/17529
CVE-2021-42704,1385513396,"CVE-2021-42704 Description: Inkscape version 0.19 is vulnerable to an out-of-bounds write, which may allow an attacker to arbitrary execute code. Link:",2025-04-22 11:54:48.041037,https://t.me/CVE_Updates/17528
CVE-2021-42702,1385513396,"CVE-2021-42702 Description: Inkscape version 0.19 can access an uninitialized pointer, which may allow an attacker to have access to unauthorized information. Link:",2025-04-22 11:54:48.041116,https://t.me/CVE_Updates/17527
CVE-2021-42700,1385513396,"CVE-2021-42700 Description: Inkscape 0.19 is vulnerable to an out-of-bounds read, which may allow an attacker to have access to unauthorized information. Link:",2025-04-22 11:54:48.041196,https://t.me/CVE_Updates/17526
